,Census year,Block ID,Property ID,Base property ID,Suburb,Trading name,Business address,Industry (ANZSIC4) description,Longitude,Latitude,location,Postcode,Google Search Link,Cuisine
6447,2013,6,110655,110655,Melbourne (CBD),Riverland Bar,"Vault , 1-9 Princes Walk MELBOURNE 3000",Cafes and Restaurants,144.9686538,-37.818679,"-37.81867874765, 144.96865384918814",3000,https://www.google.com/search?q=Riverland+Bar+Melbourne,Australian
6451,2013,6,578322,573333,Melbourne (CBD),Bokchoy Tang,"Tenancy 21, 2 Swanston Street MELBOURNE 3000",Cafes and Restaurants,144.9699416,-37.817778,"-37.817777826050005, 144.96994164279243",3000,https://www.google.com/search?q=Bokchoy+Tang+Melbourne,Chinese
6457,2013,11,103957,103957,Melbourne (CBD),Degani Bakery Cafe,"Suite 1, Ground , 535 Flinders Lane MELBOURNE 3000",Takeaway Food Services,144.9564864,-37.819875,"-37.81987544535, 144.95648638814873",3000,https://www.google.com/search?q=Degani+Bakery+Cafe+Melbourne,Cafe
6458,2013,11,103957,103957,Melbourne (CBD),Rustiq Cafe,"Suite 1, Ground , 517 Flinders Lane MELBOURNE 3000",Cafes and Restaurants,144.9564864,-37.819875,"-37.81987544535, 144.95648638814873",3000,https://www.google.com/search?q=Rustiq+Cafe+Melbourne,Cafe
6459,2013,11,108972,108972,Melbourne (CBD),Pensione Hotel Melbourne,16-22 Spencer Street MELBOURNE 3000,Accommodation,144.9552447,-37.820509,"-37.8205093018, 144.9552446782476",3000,https://www.google.com/search?q=Pensione+Hotel+Melbourne+Melbourne,Australian
6462,2013,12,103998,103998,Melbourne (CBD),Shuji Sushi,452 Flinders Street MELBOURNE 3000,Cafes and Restaurants,144.9585997,-37.819465,"-37.81946525809167, 144.95859968539995",3000,https://www.google.com/search?q=Shuji+Sushi+Melbourne,Japanese
6466,2013,13,110151,110151,Melbourne (CBD),Shiraaz at CBD Fine Indian Cuisine,"Part Ground , 22 William Street MELBOURNE 3000",Cafes and Restaurants,144.959965,-37.818777,"-37.81877676586093, 144.95996522745",3000,https://www.google.com/search?q=Shiraaz+at+CBD+Fine+Indian+Cuisine+Melbourne,Indian
6474,2013,14,103952,103952,Melbourne (CBD),Bluestone Downstairs,349 Flinders Lane MELBOURNE 3000,Cafes and Restaurants,144.962858,-37.817873,"-37.81787287035982, 144.9628576858",3000,https://www.google.com/search?q=Bluestone+Downstairs+Melbourne,Australian
6479,2013,14,108116,108116,Melbourne (CBD),Equal 9 Cafe,"Unit 1, 18 Queen Street MELBOURNE 3000",Cafes and Restaurants,144.9625773,-37.818296,"-37.818295994, 144.96257727727829",3000,https://www.google.com/search?q=Equal+9+Cafe+Melbourne,Cafe
6480,2013,15,103327,103327,Melbourne (CBD),KFC,"Shop 2, 28-32 Elizabeth Street MELBOURNE 3000",Cafes and Restaurants,144.9648815,-37.817299,"-37.817298998, 144.96488145640564",3000,https://www.google.com/search?q=KFC+Melbourne,Fast Food
