,Census year,Block ID,Property ID,Base property ID,Suburb,Trading name,Business address,Industry (ANZSIC4) description,Longitude,Latitude,location,Postcode,Google Search Link,Cuisine
3114,2021,1105,605910,605910,Docklands,Sergy Boy,"Shop 1-2, 699 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,144.95146864420656,-37.82020119,"-37.820201186000006, 144.95146864420656",3008,https://www.google.com/search?q=Sergy+Boy+Melbourne,Australian
3117,2021,1105,609487,609487,Docklands,Nine Elephants Thai Restaurant,Part Ground 737 Bourke Street DOCKLANDS VIC 3008,Cafes and Restaurants,144.9490689,-37.81920222,"-37.81920222122055, 144.94906886145",3008,https://www.google.com/search?q=Nine+Elephants+Thai+Restaurant+Melbourne,Thai
3119,2021,1105,609488,609488,Docklands,Platform 28,82 Village Street DOCKLANDS VIC 3008,Cafes and Restaurants,144.9498285,-37.81922043,"-37.81922042851071, 144.94982850455",3008,https://www.google.com/search?q=Platform+28+Melbourne,Australian
3121,2021,1105,628714,628714,Docklands,Subway,38 Batmans Hill Drive DOCKLANDS VIC 3008,Cafes and Restaurants,144.94949950450552,-37.82092926,"-37.8209292554, 144.94949950450552",3008,https://www.google.com/search?q=Subway+Melbourne,Unknown
3129,2021,1108,577356,577356,Docklands,Pouring for a Purpose,Part Ground 107 Victoria Harbour Promenade DOCKLANDS VIC 3008,Cafes and Restaurants,144.94052378251783,-37.82003429,"-37.82003429485, 144.94052378251783",3008,https://www.google.com/search?q=Pouring+for+a+Purpose+Melbourne,Australian
3136,2021,1108,611786,611786,Docklands,Off With The Ferries,Part 131-141 Harbour Esplanade DOCKLANDS VIC 3008,Cafes and Restaurants,144.9452948,-37.81711586,"-37.81711585817223, 144.94529483205",3008,https://www.google.com/search?q=Off+With+The+Ferries+Melbourne,Australian
3140,2021,1108,622439,622439,Docklands,O-Bento,"Shop 8, 838 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,144.9450194,-37.8210123,"-37.82101230354219, 144.9450193849",3008,https://www.google.com/search?q=O-Bento+Melbourne,Unknown
3141,2021,1108,623575,623575,Docklands,Saluministi,892 Bourke Street DOCKLANDS VIC 3008,Cafes and Restaurants,144.94138744512207,-37.82006232,"-37.82006231645, 144.94138744512207",3008,https://www.google.com/search?q=Saluministi+Melbourne,Italian
3144,2021,1108,667598,667598,Docklands,Chilangos Mexican Cantina Docklands,"Tenancy 2, 855 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,144.94400365357916,-37.8216286,"-37.82162859595, 144.94400365357916",3008,https://www.google.com/search?q=Chilangos+Mexican+Cantina+Docklands+Melbourne,Mexican
3148,2021,1109,560004,560004,Docklands,Solidaire Victoria,28 Newquay Promenade DOCKLANDS VIC 3008,Cafes and Restaurants,144.9421704720731,-37.8143613,"-37.81436129865, 144.9421704720731",3008,https://www.google.com/search?q=Solidaire+Victoria+Melbourne,Australian
